type,feature_name,importance
gamma_weight,CloseStd_17,0.06877011805772781
gamma_weight,SMA_8,0.06875179708003998
gamma_weight,Volume_EMA_18,0.06874904036521912
gamma_weight,EMA_4,0.06874436140060425
gamma_weight,BBdn_22,0.06870630383491516
gamma_weight,EMA_28,0.0686970055103302
gamma_weight,BBdn_8,0.06864045560359955
gamma_weight,BBup_7,0.0686306282877922
gamma_weight,EMA_5,0.06861128658056259
gamma_weight,BBmid_11,0.06858719140291214
gamma_weight,StoK_25,0.06858591735363007
gamma_weight,Volume_EMA_16,0.06857157498598099
gamma_weight,StoD_2,0.06856387853622437
gamma_weight,BBdn_6,0.0684351846575737
gamma_weight,BBmid_12,0.06840050220489502
gamma_weight,BBup_13,0.06839080899953842
gamma_weight,StoK_22,0.06837978214025497
gamma_weight,ROC_25,0.06836352497339249
gamma_weight,BBmid_24,0.06832325458526611
gamma_weight,WR_25,0.06827422231435776
gamma_weight,Range_10,0.06823194026947021
gamma_weight,BBup_12,0.06822977215051651
gamma_weight,Range_20,0.06821641325950623
gamma_weight,EMA_14,0.06818108260631561
gamma_weight,RSI_18,0.06814584136009216
gamma_weight,ROC_21,0.0681411474943161
gamma_weight,CCI_10,0.06810671836137772
gamma_weight,RSI_10,0.06810180842876434
gamma_weight,RSI_13,0.06798940151929855
gamma_weight,SMA_12,0.06788072735071182
gamma_weight,ROC_6,0.06786542385816574
gamma_weight,Range_3,0.06785169988870621
gamma_weight,StoK_14,0.0678391307592392
gamma_weight,CCI_2,0.0678289532661438
gamma_weight,BBmid_7,0.06766360253095627
gamma_weight,RSI_17,0.06762237846851349
gamma_weight,Volume_SMA_19,0.06761861592531204
gamma_weight,CCI_8,0.06761083751916885
gamma_weight,BBup_30,0.06759777665138245
gamma_weight,BBmid_3,0.06751707196235657
gamma_weight,CCI_9,0.06751623004674911
gamma_weight,Range_24,0.06747983396053314
gamma_weight,StoD_16,0.06737150251865387
gamma_weight,BBup_22,0.06733212620019913
gamma_weight,RSI_3,0.06732269376516342
gamma_weight,StoK_10,0.06729685515165329
gamma_weight,Volume_EMA_15,0.06722597032785416
gamma_weight,RSI_20,0.06717423349618912
gamma_weight,Volume_SMA_16,0.06711277365684509
gamma_weight,BBup_2,0.06710659712553024
gamma_weight,StoK_27,0.06710487604141235
gamma_weight,CCI_18,0.06707285344600677
gamma_weight,RSI_25,0.06706981360912323
gamma_weight,BBmid_6,0.0670379251241684
gamma_weight,Volume_SMA_4,0.06703752279281616
gamma_weight,Volume_SMA_3,0.06702294945716858
gamma_weight,StoD_10,0.06700195372104645
gamma_weight,BBdn_25,0.06696522235870361
gamma_weight,RSI_15,0.06687090545892715
gamma_weight,BBup_28,0.0668177455663681
gamma_weight,SMA_5,0.06681129336357117
gamma_weight,CCI_21,0.06670064479112625
gamma_weight,ROC_16,0.06669578701257706
gamma_weight,CCI_15,0.06668202579021454
gamma_weight,BBmid_23,0.06665222346782684
gamma_weight,BBdn_7,0.06662105023860931
gamma_weight,Range_19,0.06657012552022934
gamma_weight,BBdn_27,0.06655806303024292
gamma_weight,CloseStd_24,0.06654860079288483
gamma_weight,Range_30,0.06650963425636292
gamma_weight,EMA_16,0.06647184491157532
gamma_weight,Volume_SMA_28,0.0663720890879631
gamma_weight,BBup_26,0.06634820252656937
gamma_weight,SMA_10,0.06632434576749802
gamma_weight,StoD_7,0.06628565490245819
gamma_weight,Range_14,0.06625901162624359
gamma_weight,WR_23,0.06617830693721771
gamma_weight,CloseStd_19,0.06611454486846924
gamma_weight,StoD_12,0.0660749226808548
gamma_weight,BBmid_21,0.06605513393878937
gamma_weight,RSI_9,0.0660104900598526
gamma_weight,StoK_20,0.06599821895360947
gamma_weight,StoK_19,0.06597139686346054
gamma_weight,SMA_20,0.06594645977020264
gamma_weight,Range_16,0.0658765584230423
gamma_weight,StoD_24,0.06585819274187088
gamma_weight,Volume_SMA_7,0.06574174761772156
gamma_weight,CCI_3,0.06572028994560242
gamma_weight,StoD_28,0.06568960845470428
